Title,Authors,Publication Date,DOI,Source
Conceptualizing hybrid model for influencing intention to adopt cloud computing in North-Eastern Nigerian academic libraries,Yakubu A.S.,2023-07-01,10.1016/j.acalib.2023.102747,Journal of Academic Librarianship
Exploring the empirical studies of cloud computing adoption in anglophone West African countries' academic libraries: A review,Yakubu A.S.,2023-01-01,10.1117/12.2675083,Proceedings of SPIE - The International Society for Optical Engineering
Classification of jackfruit and cempedak using convolutional neural network and transfer learning,Sumari P.,2022-12-01,10.11591/ijai.v11.i4.pp1353-1361,IAES International Journal of Artificial Intelligence
The Efficiency of Hybridised Genetic Algorithm and Ant Colony Optimisation (HGA-ACO) in a Restaurant Recommendation System,Zanizam M.A.,2022-01-01,10.32802/ASMSCJ.2022.1322,ASM Science Journal
Predicting the Use of a Knowledge-Based System for Collaborative Surgical Team,Kassim A.M.,2022-01-01,10.1088/1742-6596/2356/1/012038,Journal of Physics: Conference Series
Survey on Meta-Heuristic Algorithms for Solving Vehicle Route Problems in a Waste Collection System,Sahib T.M.,2022-01-01,10.1007/978-981-16-8129-5_57,Lecture Notes in Electrical Engineering
"Concerns of thalassemia patients, carriers, and their caregivers in malaysia: Text mining information shared on social media",Phang Y.C.,2021-07-01,10.4258/HIR.2021.27.3.200,Healthcare Informatics Research
"Prediction of Carbon Monoxide (CO) Atmospheric Pollution Concentrations with Machine Learning and Time Series Analysis in Langkawi, Malaysia",Choy W.C.,2021-01-01,10.32802/asmscj.2021.756,ASM Science Journal
Fuzzy And Genetic Algorithm-Based Decision-Making Approach For Collaborative Team Formation: A Study On User Acceptance Using Utaut,Kassim A.M.,2021-01-01,10.14569/IJACSA.2021.0120827,International Journal of Advanced Computer Science and Applications
Cyber security defence policies: A proposed guidelines for organisations cyber security practices,Oyelami J.O.,2020-01-01,10.14569/IJACSA.2020.0110817,International Journal of Advanced Computer Science and Applications
A Knowledge-based Approach for a Collaborative Surgical Team,Mohd Kassim A.,2019-11-01,10.1109/CSUDET47057.2019.9214700,"2019 IEEE Conference on Sustainable Utilization and Development in Engineering and Technologies, CSUDET 2019"
Identifying social factors and representation for knowledge based coalition formation system,Kassim A.M.,2010-11-08,10.1109/ITSIM.2010.5561494,"Proceedings 2010 International Symposium on Information Technology - System Development and Application and Knowledge Society, ITSim'10"
