Title,Authors,Publication Date,DOI,Source
A Machine Learning Classification Approach to Detect TLS-based Malware using Entropy-based Flow Set Features,Keshkeh K.,2022-07-01,10.32890/jict2022.21.3.1,Journal of Information and Communication Technology
Multi-Behavior RFM Model Based on Improved SOM Neural Network Algorithm for Customer Segmentation,Liao J.,2022-01-01,10.1109/ACCESS.2022.3223361,IEEE Access
Cyber Intrusion Detection System Based on a Multiobjective Binary Bat Algorithm for Feature Selection and Enhanced Bat Algorithm for Parameter Optimization in Neural Networks,Ghanem W.A.H.M.,2022-01-01,10.1109/ACCESS.2022.3192472,IEEE Access
The effects of feature selection on the classification of encrypted botnet,Ismail Z.,2021-03-01,10.1007/s11416-020-00367-7,Journal of Computer Virology and Hacking Techniques
"A Review on TLS Encryption Malware Detection: TLS Features, Machine Learning Usage, and Future Directions",Keshkeh K.,2021-01-01,10.1007/978-981-16-8059-5_13,Communications in Computer and Information Science
Towards Understanding the Challenges of Data Remanence in Cloud Computing: A Review,Gana U.M.,2021-01-01,10.1007/978-981-33-6835-4_33,Communications in Computer and Information Science
HoneyDetails: A prototype for ensuring patient’s information privacy and thwarting electronic health record threats based on decoys,Esther Omolara A.,2020-09-01,10.1177/1460458219894479,Health Informatics Journal
A new approach for intrusion detection system based on training multilayer perceptron by using enhanced Bat algorithm,Ghanem W.A.H.M.,2020-08-01,10.1007/s00521-019-04655-2,Neural Computing and Applications
Reinforcing the Security of Instant Messaging Systems Using an Enhanced Honey Encryption Scheme: The Case of WhatsApp,Abiodun E.O.,2020-06-01,10.1007/s11277-020-07163-y,Wireless Personal Communications
Machine learning approach for detection of fileless cryptocurrency mining malware,Handaya W.B.T.,2020-03-12,10.1088/1742-6596/1450/1/012075,Journal of Physics: Conference Series
Formal knowledge model for online social network forensics,Arshad H.,2020-02-01,10.1016/j.cose.2019.101675,Computers and Security
Training a Neural Network for Cyberattack Classification Applications Using Hybridization of an Artificial Bee Colony and Monarch Butterfly Optimization,Ghanem W.A.H.M.,2020-02-01,10.1007/s11063-019-10120-x,Neural Processing Letters
An Efficient Intrusion Detection Model Based on Hybridization of Artificial Bee Colony and Dragonfly Algorithms for Training Multilayer Perceptrons,Ghanem W.A.H.M.,2020-01-01,10.1109/ACCESS.2020.3009533,IEEE Access
A framework for detecting botnet command and control communication over an encrypted channel,Ismail Z.,2020-01-01,10.14569/ijacsa.2020.0110140,International Journal of Advanced Computer Science and Applications
Fingereye: Improvising security and optimizing ATM transaction time based on iris-scan authentication,Omolara A.E.,2019-06-01,10.11591/ijece.v9i3.pp1879-1886,International Journal of Electrical and Computer Engineering
Modified honey encryption scheme for encoding natural language message,Omolara A.E.,2019-06-01,10.11591/ijece.v9i3.pp1871-1878,International Journal of Electrical and Computer Engineering
A multilayered semantic framework for integrated forensic acquisition on social media,Arshad H.,2019-06-01,10.1016/j.diin.2019.04.002,Digital Investigation
Evidence collection and forensics on social networks: Research challenges and directions,Arshad H.,2019-03-01,10.1016/j.diin.2019.02.001,Digital Investigation
A comprehensive review of honey encryption scheme,Omolara A.,2019-02-01,10.11591/ijeecs.v13.i2.pp649-656,Indonesian Journal of Electrical Engineering and Computer Science
An enhanced Bat algorithm with mutation operator for numerical optimization problems,Ghanem W.A.H.M.,2019-01-09,10.1007/s00521-017-3021-9,Neural Computing and Applications
