Title,Authors,Publication Date,DOI,Source
Hyper-heuristic for flexible job shop scheduling problem with stochastic job arrivals,Lim K.C.W.,2023-07-01,10.1016/j.mfglet.2022.12.009,Manufacturing Letters
Simulated-annealing-based hyper-heuristic for flexible job-shop scheduling,Lim K.C.W.,2022-01-01,10.1080/0305215X.2022.2106477,Engineering Optimization
Non-invasive health prediction from visually observable features,Connie T.,2022-01-01,10.12688/f1000research.72894.2,F1000Research
A visual approach towards forward collision warning for autonomous vehicles on Malaysian public roads,Connie T.,2022-01-01,10.12688/f1000research.72897.2,F1000Research
Explainable health prediction from facial features with transfer learning,Connie T.,2022-01-01,10.3233/JIFS-211737,Journal of Intelligent and Fuzzy Systems
A Machine-Learning-based Approach for Parameter Control in Bee Colony Optimization for Traveling Salesman Problem,Tan C.G.,2021-01-01,10.1109/TAAI54685.2021.00019,"Proceedings - 2021 International Conference on Technologies and Applications of Artificial Intelligence, TAAI 2021"
A bee colony optimisation algorithm with a sequential-pattern-mining-based pruning strategy for the travelling salesman problem,Choong S.S.,2020-01-01,10.1504/IJBIC.2020.108591,International Journal of Bio-Inspired Computation
Pedestrian evacuation route plan using existing optimal exit selection algorithms,Hassan F.H.,2019-06-01,N/A,International Journal of Innovative Technology and Exploring Engineering
An artificial bee colony algorithm with a Modified Choice Function for the traveling salesman problem,Choong S.S.,2019-02-01,10.1016/j.swevo.2018.08.004,Swarm and Evolutionary Computation
A dynamic fuzzy-based dance mechanism for the bee colony optimization algorithm,Choong S.S.,2018-11-01,10.1111/coin.12159,Computational Intelligence
An ensemble of intelligent water drop algorithm for feature selection optimization problem,Alijla B.,2018-04-01,10.1016/j.asoc.2018.02.003,Applied Soft Computing Journal
Automatic design of hyper-heuristic based on reinforcement learning,Choong S.S.,2018-04-01,10.1016/j.ins.2018.01.005,Information Sciences
A Review on Outdoor Parking Systems Using Feasibility of Mobile Sensors,Hossen M.I.,2018-01-01,10.1007/978-981-10-8276-4_23,Lecture Notes in Electrical Engineering
