Title,Authors,Publication Date,DOI,Source
Generative Adversarial Networks with Data Augmentation and Multiple Penalty Areas for Image Synthesis,Chen L.,2023-05-01,10.34028/iajit/20/3/15,International Arab Journal of Information Technology
A Deep Learning Model with Name Attention to Predict the Stock Trend from News Headline,Tan T.P.,2023-01-01,10.1007/978-981-19-8406-8_29,Lecture Notes in Electrical Engineering
Enhancing relevant concepts extraction for ontology learning using domain time relevance,AL-Aswadi F.N.,2023-01-01,10.1016/j.ipm.2022.103140,Information Processing and Management
A NOVEL TRUE-REAL-TIME SPATIOTEMPORAL DATA STREAM PROCESSING FRAMEWORK,Angbera A.,2022-09-01,10.5455/jjcit.71-1646838830,Jordanian Journal of Computers and Information Technology
From Ontology to Knowledge Graph Trend: Ontology as Foundation Layer for Knowledge Graph,AL-Aswadi F.N.,2022-01-01,10.1007/978-3-031-21422-6_25,Communications in Computer and Information Science
Handling Illusive Text in Document to Improve Accuracy of Plagiarism Detection Algorithm,Iqbal Z.,2022-01-01,10.1007/978-981-16-8129-5_9,Lecture Notes in Electrical Engineering
"Concepts, key challenges and open problems of federated learning",Iqbal Z.,2021-07-01,10.5829/IJE.2021.34.07A.11,"International Journal of Engineering, Transactions A: Basics"
Effective Solution of University Course Timetabling using Particle Swarm Optimizer based Hyper Heuristic approach,Iqbal Z.,2021-01-01,10.21123/bsj.2021.18.4(Suppl.).1465,Baghdad Science Journal
Extracting Semantic Concepts and Relations from Scientific Publications by Using Deep Learning,AL-Aswadi F.N.,2021-01-01,10.1007/978-3-030-70713-2_35,Lecture Notes on Data Engineering and Communications Technologies
A novel instance segmentation algorithm based on improved deep learning algorithm for multi-object images,Abuowaida S.F.A.,2021-01-01,10.5455/jjcit.71-1603701313,Jordanian Journal of Computers and Information Technology
Improved deep learning architecture for depth estimation from single image,Abuowaida S.F.A.,2020-12-01,10.5455/jjcit.71-1593368945,Jordanian Journal of Computers and Information Technology
Automatic ontology construction from text: a review from shallow to deep learning trend,Al-Aswadi F.N.,2020-08-01,10.1007/s10462-019-09782-9,Artificial Intelligence Review
Prediction for Dengue Fever in Indonesia Using Neural Network and Regression Method,Harumy T.H.F.,2020-07-03,10.1088/1742-6596/1566/1/012019,Journal of Physics: Conference Series
Integrating mutation scheme into monarch butterfly algorithm for global numerical optimization,Ghetas M.,2020-04-01,10.1007/s00521-018-3676-x,Neural Computing and Applications
Resource Management Framework for Multi-tier Service Using Case-Based Reasoning and Optimization Algorithm,Ghetas M.,2018-02-01,10.1007/s13369-017-2748-z,Arabian Journal for Science and Engineering
Resolve resource contention for multi-tier cloud service using butterfly optimization algorithm in cloud environment,Ghetas M.,2018-01-01,10.1007/978-3-319-59427-9_68,Lecture Notes on Data Engineering and Communications Technologies
Precision hole punching on composite fiber reinforced polymer panels,Abdullah A.B.,2017-12-04,10.1063/1.5010491,AIP Conference Proceedings
