Title,Authors,Publication Date,DOI,Source
Recent Developments in Game-Theory Approaches for the Detection and Defense against Advanced Persistent Threats (APTs): A Systematic Review,Khalid M.N.A.,2023-03-01,10.3390/math11061353,Mathematics
Privacy during epidemic of COVID-19: a bibliometric analysis,Ali A.S.,2023-02-01,10.11591/eei.v12i1.4460,Bulletin of Electrical Engineering and Informatics
"Distributed Denial of Service Attacks against Cloud Computing Environment: Survey, Issues, Challenges and Coherent Taxonomy",Alashhab Z.R.,2022-12-01,10.3390/app122312441,Applied Sciences (Switzerland)
Exploration of Mobile Device Behavior for Mitigating Advanced Persistent Threats (APT): A Systematic Literature Review and Conceptual Framework,Jabar T.,2022-07-01,10.3390/s22134662,Sensors
Adaptive Contextual Risk-Based Model to Tackle Confidentiality-Based Attacks in Fog-IoT Paradigm,Selvan S.,2022-02-01,10.3390/computers11020016,Computers
Security analysis of mobile crowd sensing applications,Owoh N.P.,2022-01-10,10.1016/j.aci.2018.10.002,Applied Computing and Informatics
Fingerprint for Mobile-Sensor APT Detection Framework (FORMAP) Based on Tactics Techniques and Procedures (TTP) and MITRE,Al-Kadhimi A.A.,2022-01-01,10.1007/978-981-16-8515-6_40,Lecture Notes in Electrical Engineering
Mobile Advanced Persistent Threat Detection Using Device Behavior (SHOVEL) Framework,Jabar T.,2022-01-01,10.1007/978-981-16-8515-6_39,Lecture Notes in Electrical Engineering
Personal Thermal Comfort Model for Cyber-Physical Human Centric Systems using Incomplete Supervised Learning Method,Lim Y.,2022-01-01,10.1109/ICOIN53446.2022.9687181,International Conference on Information Networking
Cyber-criminology defense in pervasive environment: A study of cybercrimes in Malaysia,Singh M.M.,2021-06-01,10.11591/eei.v10i3.3028,Bulletin of Electrical Engineering and Informatics
A privacy preservation quality of service (Qos) model for data exposure in android smartphone usage,Bakar A.A.,2021-03-02,10.3390/s21051667,Sensors
A Hybrid Intrusion Detection Model for Identification of Threats in Internet of Things Environment,Owoh N.P.,2021-01-01,10.14569/IJACSA.2021.0120976,International Journal of Advanced Computer Science and Applications
Smart-Hadir - Mobile Based Attendance Management System,Keau C.S.,2021-01-01,10.3991/ijim.v15i14.22677,International Journal of Interactive Mobile Technologies
Impact of Coronavirus Pandemic Crisis on Technologies and Cloud Computing Applications,Alashhab Z.R.,2021-01-01,10.1016/j.jnlest.2020.100059,Journal of Electronic Science and Technology
Resolving the imbalance issue in short messaging service spam dataset using cost-sensitive techniques,Lim L.P.,2020-10-01,10.1016/j.jisa.2020.102558,Journal of Information Security and Applications
Breast self-examination system using multifaceted trustworthiness: Observational study,Khana R.,2020-09-01,10.2196/21584,JMIR Medical Informatics
A novel out-of-band biometrics authentication scheme for wearable devices,Mahinderjit Singh M.,2020-08-17,10.1080/1206212X.2018.1547347,International Journal of Computers and Applications
SenseCrypt: A Security Framework for Mobile Crowd Sensing Applications,Pius Owoh N.,2020-06-09,10.3390/s20113280,"Sensors (Basel, Switzerland)"
Sensecrypt: A security framework for mobile crowd sensing applications,Owoh N.P.,2020-06-01,10.3390/s20113280,Sensors (Switzerland)
Readability of websites security privacy policies: A survey on text content and readers,Ali A.S.,2020-04-11,N/A,International Journal of Advanced Science and Technology
Sentient-based Access Control model: A mitigation technique for Advanced Persistent Threats in Smartphones,Zulkefli Z.,2020-04-01,10.1016/j.jisa.2019.102431,Journal of Information Security and Applications
The Relationship of Trustworthiness and Ethical Value in the Healthcare System,Khana R.,2020-01-01,10.14569/IJACSA.2020.0111153,International Journal of Advanced Computer Science and Applications
Investigating the importance of implementing ethical value on a healthcare system within a social media context,Khana R.,2020-01-01,N/A,"International Journal of Innovation, Creativity and Change"
Reliability Improvement of Single-Shot Device,Singh M.,2020-01-01,10.1007/978-981-13-9008-1_13,Lecture Notes in Mechanical Engineering
A systemic cybercrime stakeholders architectural model,Singh M.M.,2019-01-01,10.1016/j.procs.2019.11.227,Procedia Computer Science
Privacy preservation quality of service model for data exposure,Bakar A.A.,2019-01-01,10.1016/j.procs.2019.11.226,Procedia Computer Science
Conceptualizing distrust model with balance theory and multi-faceted model for mitigating false reviews in location-based services (LBS),Singh M.,2019-01-01,10.3390/sym11091118,Symmetry
Applying Diffie-Hellman algorithm to solve the key agreement problem in mobile blockchain-based sensing applications,Owoh N.P.,2019-01-01,10.14569/IJACSA.2019.0100308,International Journal of Advanced Computer Science and Applications
Detection of http flooding ddos attack using hadoop with mapreduce: a survey,Al Ashhab Z.R.,2019-01-01,10.30534/ijatcse/2019/12812019,International Journal of Advanced Trends in Computer Science and Engineering
Smart home using microelectromechanical systems (MEMS) sensor and ambient intelligences (SAHOMASI),Singh M.M.,2019-01-01,10.1007/978-981-13-2622-6_54,Lecture Notes in Electrical Engineering
APTGuard: Advanced persistent threat (APT) detections and predictions using android smartphone,Chuan B.L.J.,2019-01-01,10.1007/978-981-13-2622-6_53,Lecture Notes in Electrical Engineering
Habituation effects in computer security warning,Amran A.,2018-07-04,10.1080/19393555.2018.1505008,Information Security Journal
