Title,Authors,Publication Date,DOI,Source
Generation Z’s adoption of IoT: protection motivation theory as the underlying model and gender as a moderator,Mahmud A.,2023-06-12,10.1108/JSIT-02-2022-0054,Journal of Systems and Information Technology
"Redactable Blockchain: Comprehensive Review, Mechanisms, Challenges, Open Issues and Future Research Directions",Abd Ali S.M.,2023-01-01,10.3390/fi15010035,Future Internet
IoT Adoption by the Young Consumer: An Extended ASE Perspective,Mahmud A.,2022-01-01,10.14329/APJIS.2022.32.4.857,Asia Pacific Journal of Information Systems
The effects of feature selection on the classification of encrypted botnet,Ismail Z.,2021-03-01,10.1007/s11416-020-00367-7,Journal of Computer Virology and Hacking Techniques
Towards Understanding the Challenges of Data Remanence in Cloud Computing: A Review,Gana U.M.,2021-01-01,10.1007/978-981-33-6835-4_33,Communications in Computer and Information Science
Machine learning approach for detection of fileless cryptocurrency mining malware,Handaya W.B.T.,2020-03-12,10.1088/1742-6596/1450/1/012075,Journal of Physics: Conference Series
A framework for detecting botnet command and control communication over an encrypted channel,Ismail Z.,2020-01-01,10.14569/ijacsa.2020.0110140,International Journal of Advanced Computer Science and Applications
Using NDN in improving energy efficiency of MANET,Muchtar F.,2020-01-01,10.1007/978-3-030-29407-6_32,Lecture Notes in Electrical Engineering
ToMRobot: A low-cost robot for MANET testbed,Muchtar F.,2018-12-01,10.1109/PDGC.2018.8745838,"PDGC 2018 - 2018 5th International Conference on Parallel, Distributed and Grid Computing"
"Forensic Investigation of Social Media and Instant Messaging Services in Firefox OS: Facebook, Twitter, Google+, Telegram, OpenWapp, and Line as Case Studies",Yusoff M.N.,2017-01-01,10.1016/B978-0-12-805303-4.00004-6,Contemporary Digital Forensic Investigations of Cloud and Mobile Applications
"Network Traffic Forensics on Firefox Mobile OS: Facebook, Twitter, and Telegram as Case Studies",Yusoff M.N.,2017-01-01,10.1016/B978-0-12-805303-4.00005-8,Contemporary Digital Forensic Investigations of Cloud and Mobile Applications
"Forensic Investigation of Social Media and Instant Messaging Services in Firefox OS: Facebook, Twitter, Google+, Telegram, OpenWapp, and Line as Case Studies",Yusoff M.,2016-10-12,10.1016/B978-0-12-805303-4.00004-6,Contemporary Digital Forensic Investigations of Cloud and Mobile Applications
"Network Traffic Forensics on Firefox Mobile OS: Facebook, Twitter, and Telegram as Case Studies",Yusoff M.,2016-10-12,10.1016/B978-0-12-805303-4.00005-8,Contemporary Digital Forensic Investigations of Cloud and Mobile Applications
Mobile forensic data acquisition in Firefox OS,Yusoff M.N.,2014-09-30,10.1109/CyberSec.2014.6913967,"2014 3rd International Conference on Cyber Security, Cyber Warfare and Digital Forensic, CyberSec 2014"
An approach for forensic investigation in Firefox OS,Yusoff M.N.,2014-09-30,10.1109/CyberSec.2014.6913966,"2014 3rd International Conference on Cyber Security, Cyber Warfare and Digital Forensic, CyberSec 2014"
A framework for optimizing malware classification by using genetic algorithm,Yusoff M.N.,2011-07-20,10.1007/978-3-642-22191-0_5,Communications in Computer and Information Science
