Title,Authors,Publication Date,DOI,Source
Deep Learning Based Methods for Molecular Similarity Searching: A Systematic Review,Nasser M.,2023-05-01,10.3390/pr11051340,Processes
Self-Weighted Graph-Based Framework for Multi-View Clustering,He Y.,2023-01-01,10.1109/ACCESS.2023.3260971,IEEE Access
Image Processing Approach for Grading IVF Blastocyst: A State-of-the-Art Review and Future Perspective of Deep Learning-Based Models,Isa I.S.,2023-01-01,10.3390/app13021195,Applied Sciences (Switzerland)
Deep Learning Based Methods for Breast Cancer Diagnosis: A Systematic Review and Future Direction,Nasser M.,2023-01-01,10.3390/diagnostics13010161,Diagnostics
A Review of Long Short-Term Memory Approach for Time Series Analysis and Forecasting,Kader N.I.A.,2023-01-01,10.1007/978-3-031-20429-6_2,Lecture Notes in Networks and Systems
Guest Editorial: Special issue on ‘Artificial Intelligence and Entertainment Science: Empathic Entertainment Technology’,Khalid M.N.A.,2023-01-01,10.1016/j.entcom.2022.100531,Entertainment Computing
Partial Verification Bias Correction Using Inverse Probability Bootstrap Sampling for Binary Diagnostic Tests,Arifin W.N.,2022-11-01,10.3390/diagnostics12112839,Diagnostics
Community-based mosquito surveillance: an automatic mosquito-on-human-skin recognition system with a deep learning algorithm,Ong S.Q.,2022-10-01,10.1002/ps.7028,Pest Management Science
Recent Trends of Machine Learning Predictions using Open Data: A Systematic Review,Ismail N.,2022-07-01,10.32890/jict2022.21.3.3,Journal of Information and Communication Technology
Correcting for partial verification bias in diagnostic accuracy studies: A tutorial using R,Arifin W.N.,2022-04-30,10.1002/sim.9311,Statistics in Medicine
Filter-based feature selection: a comparison among binary and continuous Cuckoo optimisation algorithms along with multi-objective optimisation algorithms using gain ratio-based entropy,Usman A.M.,2022-01-01,10.1504/ijbic.2022.127511,International Journal of Bio-Inspired Computation
Recent Techniques in Determining the Effects of Climate Change on Depressive Patients: A Systematic Review,Ab Kader N.I.,2022-01-01,10.1155/2022/1803401,Journal of Environmental and Public Health
Optimizing the Hyperparameter Tuning of YOLOv5 for Underwater Detection,Isa I.S.,2022-01-01,10.1109/ACCESS.2022.3174583,IEEE Access
Filter-Based Feature Selection Using Information Theory and Binary Cuckoo Optimisation Algorithm,Usman A.M.,2022-01-01,10.22059/JITM.2022.84900,Journal of Information Technology Management
Incorporating shifting bottleneck identification in assembly line balancing problem using an artificial immune system approach,Khalid M.N.A.,2021-09-01,10.1007/s10696-020-09389-1,Flexible Services and Manufacturing Journal
Harris Hawks Optimizer for Solving Multiple Sequence Alignment,Ibrahim M.K.,2021-08-27,10.1088/1742-6596/1997/1/012008,Journal of Physics: Conference Series
