Title,Authors,Publication Date,DOI,Source
Numerical Approximation of 5G-V2V Physical Sidelink Shared Channel (PSSCH) Capacity Limit using M/G/1 Queuing and Newton–Raphson Method,Abubakar S.,2023-05-15,10.1016/j.aej.2023.03.045,Alexandria Engineering Journal
"A Representation of 3GPP 5G-V2X Sidelink Enhancements in Releases 14, 15, 16, and 17",Abubakar S.,2022-04-01,10.18280/ts.390216,Traitement du Signal
Driver Drowsiness Detection and Monitoring System (DDDMS),Rozali R.A.F.,2022-01-01,10.14569/IJACSA.2022.0130691,International Journal of Advanced Computer Science and Applications
Performance Evaluation of Safe Avoidance Time and Safety Message Dissemination for Vehicle to Vehicle (V2V) Communication in LTE C-V2X,Halim H.A.,2022-01-01,10.14569/IJACSA.2022.0130362,International Journal of Advanced Computer Science and Applications
A privacy preservation quality of service (Qos) model for data exposure in android smartphone usage,Bakar A.A.,2021-03-02,10.3390/s21051667,Sensors
A Privacy Preservation Quality of Service (QoS) Model for Data Exposure in Android Smartphone Usage,Abu Bakar A.,2021-03-01,10.3390/s21051667,"Sensors (Basel, Switzerland)"
Mobile Cloud Cloudlet Online Gaming Transmission System (MCCGT),Doraisamy V.,2020-01-01,10.1007/978-3-030-33585-4_46,Advances in Intelligent Systems and Computing
Traffic mobility analysis of ITS V2V cooperative awareness communication based on local traffic motion constraints,Afdhal A.,2019-08-01,10.1109/CYBERNETICSCOM.2019.8875633,Proceedings: CYBERNETICSCOM 2019 - 2019 IEEE International Conference on Cybernetics and Computational Intelligence: Towards a Smart and Human-Centered Cyber World
Passenger vehicle avoidance time model for connected and autonomous vehicles,Jaiyeoba O.,2019-07-01,10.1109/ICoICT.2019.8835282,"2019 7th International Conference on Information and Communication Technology, ICoICT 2019"
Crash avoidance based periodic safety message dissemination protocol for vehicular ad hoc network,Fadilah S.,2019-04-01,10.1109/VTCSpring.2019.8746467,IEEE Vehicular Technology Conference
Privacy preservation quality of service model for data exposure,Bakar A.A.,2019-01-01,10.1016/j.procs.2019.11.226,Procedia Computer Science
APTGuard: Advanced persistent threat (APT) detections and predictions using android smartphone,Chuan B.L.J.,2019-01-01,10.1007/978-981-13-2622-6_53,Lecture Notes in Electrical Engineering
The modified safe clustering algorithm for vehicular ad hoc networks,Hashim A.A.,2018-02-28,10.1109/SCORED.2017.8305381,"IEEE Student Conference on Research and Development: Inspiring Technology for Humanity, SCOReD 2017 - Proceedings"
Enhanced Analytical Hierarchy process for U-Learning with Near Field Communication (NFC) technology,Osman H.M.,2018-01-01,10.14569/IJACSA.2018.091241,International Journal of Advanced Computer Science and Applications
An Authentication Technique: Behavioral Data Profiling on Smart Phones,Mohammed S.,2018-01-01,10.1007/978-981-10-8276-4_9,Lecture Notes in Electrical Engineering
Typosquat Cyber Crime Attack Detection via Smartphone,Zulkefli Z.,2017-01-01,10.1016/j.procs.2017.12.203,Procedia Computer Science
A study of dynamic network selection in wireless overlay network,Zaini K.,2016-01-07,10.1109/APWiMob.2015.7374958,APWiMob 2015 - IEEE Asia Pacific Conference on Wireless and Mobile
"A combination of mobility, load and services for network selection in heterogenous wireless network",Zaini K.,2016-01-05,10.1109/TENCON.2015.7372919,"IEEE Region 10 Annual International Conference, Proceedings/TENCON"
A calculation of wlan dwell time model for wireless network selection,Zaini K.,2016-01-01,N/A,"Journal of Telecommunication, Electronic and Computer Engineering"
User behavior based call admission control for traffic steering in Wi-Fi/Cellular networks,Yi L.Y.,2016-01-01,10.1007/978-3-319-24584-3_34,Lecture Notes in Electrical Engineering
A time gap interval for safe following distance (TGFD) in avoiding car collision in wireless vehicular networks (VANET) environment,Fadilah S.I.,2015-09-28,10.1109/ISMS.2014.123,"Proceedings - International Conference on Intelligent Systems, Modelling and Simulation, ISMS"
A Secure Mobile App Solution Using Human Behavioral Context and Analytic Hierarchy Process,Mohammed S.,2015-01-01,10.1016/j.procs.2015.12.124,Procedia Computer Science
Traffic offloading and its application in CRRM,Zaini K.M.,2014-10-10,10.1109/APWiMob.2014.6920273,"Proceedings, APWiMob 2014: IEEE Asia Pacific Conference on Wireless and Mobile 2014"
A new hop-count and node-degree based routing protocol for Vehicular Ad-hoc Networks (VANETs),Hashim W.,2013-01-01,10.1109/MICC.2013.6805845,"2013 IEEE 11th Malaysia International Conference on Communications, MICC 2013"
A delay constrained minimum hop distributed routing algorithm using adaptive path prediction,Mohd Shariff A.R.,2007-12-01,N/A,Journal of Networks
A distributed algorithm for unicast QoS-routing using path feasibility prediction,Shariff A.R.M.,2006-01-01,10.1109/hpsr.2006.1709713,"2006 Workshop on High Performance Switching and Routing, HPSR 2006"
