Title,Authors,Publication Date,DOI,Source
Prevention of Website SQL Injection Using a New Query Comparison and Encryption Algorithm,Baklizi M.,2023-01-01,N/A,International Journal of Intelligent Systems and Applications in Engineering
IoT-Based Waste Management System in Formal and Informal Public Areas in Mecca,Abdullah N.,2022-10-01,10.3390/ijerph192013066,International Journal of Environmental Research and Public Health
A Technical Review of SQL Injection Tools and Methods: A Case Study of SQL Map,Baklizi M.,2022-09-30,N/A,International Journal of Intelligent Systems and Applications in Engineering
Integrated Approach to Achieve a Sustainable Organic Waste Management System in Saudi Arabia,Abdullah N.,2022-05-01,10.3390/foods11091214,Foods
Improving waste management system efficiency and mobility with efficient path manet,Abdullah N.,2021-11-01,10.3390/app112211039,Applied Sciences (Switzerland)
Preface,Abdullah N.,2021-01-01,N/A,Communications in Computer and Information Science
Metaheuristic Based IDS Using Multi-objective Wrapper Feature Selection and Neural Network Classification,Ghanem W.A.H.M.,2021-01-01,10.1007/978-981-33-6835-4_26,Communications in Computer and Information Science
Preface,Anbar M.,2021-01-01,10.1007/978-981-33-6835-4_1,Communications in Computer and Information Science
Review on Common IoT Communication Technologies for Both Long-Range Network (LPWAN) and Short-Range Network,Bahashwan A.A.,2021-01-01,10.1007/978-981-15-6048-4_30,Advances in Intelligent Systems and Computing
NE-CPPA: A New and Efficient Conditional Privacy-Preserving Authentication Scheme for Vehicular Ad Hoc Networks (VANETs),Al-shareeda M.A.,2020-11-01,10.18576/amis/140602,Applied Mathematics and Information Sciences
Review of prevention schemes for replay attack in vehicular ad hoc networks (VANETs),Al-Shareeda M.A.,2020-09-01,10.1109/ICICSP50920.2020.9232047,"2020 3rd IEEE International Conference on Information Communication and Signal Processing, ICICSP 2020"
Latin Hypercube Sampling Jaya Algorithm based Strategy for T-way Test Suite Generation,Nasser A.B.,2020-02-18,10.1145/3384544.3384608,ACM International Conference Proceeding Series
Preface,Anbar M.,2020-01-01,N/A,Communications in Computer and Information Science
New architecture design of cloud computing using software defined networking and network function virtualization technology,Bahashwan A.,2020-01-01,10.1007/978-3-030-33582-3_66,Advances in Intelligent Systems and Computing
Traditional versus decentralized access control for internet of things (Iot): Survey,Saghir M.,2020-01-01,10.1007/978-3-030-33582-3_46,Advances in Intelligent Systems and Computing
Hybrid storage management method for video-on-demand server,Al-Wesabi O.A.,2020-01-01,10.1007/978-3-030-33582-3_65,Advances in Intelligent Systems and Computing
Evaluation Approaches of Service Oriented Architecture (SOA) - A Survey,Alanazi S.T.,2019-05-01,10.1109/CAIS.2019.8769543,"2nd International Conference on Computer Applications and Information Security, ICCAIS 2019"
Data stream management system for video on demand hybrid storage server,Al-Wesabi O.A.,2019-01-01,10.1504/IJISTA.2019.101953,International Journal of Intelligent Systems Technologies and Applications
IoT-based smart waste management system in a smart city,Abdullah N.,2019-01-01,10.1007/978-3-319-99007-1_35,Advances in Intelligent Systems and Computing
Markov-modulated bernoulli dynamic gentle random early detection,Baklizi M.,2018-10-31,N/A,Journal of Theoretical and Applied Information Technology
On the design of video on demand server-based hybrid storage system,Al-wesabi O.A.,2018-01-01,10.1007/978-3-319-59427-9_33,Lecture Notes on Data Engineering and Communications Technologies
Intelligent routing algorithm using genetic algorithm (IRAGA),Abdullah N.,2018-01-01,10.1007/978-3-319-59427-9_28,Lecture Notes on Data Engineering and Communications Technologies
Genetic-based routing algorithm with priority constraints,Abdullah N.,2017-01-01,10.1504/IJNVO.2017.083549,International Journal of Networking and Virtual Organisations
Multipath routing selection based on genetic algorithm,Abdullah N.,2016-10-01,10.1166/asl.2016.7015,Advanced Science Letters
Genetic routing Algorithm based on adjacency-constraint matrix,Abdullah N.,2015-11-20,10.1109/ICSECS.2015.7333111,"2015 4th International Conference on Software Engineering and Computer Systems, ICSECS 2015: Virtuous Software Solutions for Big Data"
Multi-constrained routing using genetic algorithm,Abdullah N.,2013-12-01,10.1109/RFID-TA.2013.6694537,"2013 IEEE International Conference on RFID-Technologies and Applications, RFID-TA 2013"
Dynamic stochastic early discovery: A new congestion control technique to improve networks performance,Baklizi M.,2013-02-15,N/A,"International Journal of Innovative Computing, Information and Control"
Fast hashing function based on multi-pipeline hash construction (MPHC),Al-Wesabi O.,2012-11-27,N/A,"International Journal of Innovative Computing, Information and Control"
"Performance assessment of AGRED, RED and GRED congestion control algorithms",Baklizi M.,2012-02-24,10.3923/itj.2012.255.261,Information Technology Journal
