Title,Authors,Publication Date,DOI,Source
The Influence of the Barriers of Hybrid Strategy on Strategic Competitive Priorities: Evidence from Oil Companies,Alnoor A.,2023-06-01,10.1007/s40171-022-00335-8,Global Journal of Flexible Systems Management
"Correction to: Circular economy of medical waste: novel intelligent medical waste management framework based on extension linear Diophantine fuzzy FDOSM and neural network approach (Environmental Science and Pollution Research, (2023), 30, 21, (60473-60499), 10.1007/s11356-023-26677-z)",Chew X.Y.,2023-05-01,10.1007/s11356-023-27165-0,Environmental Science and Pollution Research
Circular economy of medical waste: novel intelligent medical waste management framework based on extension linear Diophantine fuzzy FDOSM and neural network approach,Chew X.Y.,2023-05-01,10.1007/s11356-023-26677-z,Environmental Science and Pollution Research
Spurring sustainability commitment strategy of family-owned SMEs: A multi-analytical SEM &amp; ANFIS perspective,Khaw K.W.,2023-05-01,10.1016/j.hitech.2023.100453,Journal of High Technology Management Research
INFLUENCE OF ORGANIZATIONAL CONTINGENCIES ON FINANCIAL PERFORMANCE: MEDIATING ROLE OF CRISIS MANAGEMENT,Zaidan A.S.,2023-01-01,10.18267/j.cebr.320,Central European Business Review
Real-time load forecasting model for the smart grid using bayesian optimized CNN-BiLSTM,Zhang D.,2023-01-01,10.3389/fenrg.2023.1193662,Frontiers in Energy Research
Alternative Design of One-Sided Shewhart Control Charts for the Multivariate Coefficient of Variation,Chew X.,2023-01-01,10.47836/pjst.31.1.35,Pertanika Journal of Science and Technology
Synthetic c charts with known and estimated process parameters based on median run length and expected median run length,Lee M.H.,2023-01-01,10.1080/16843703.2022.2098456,Quality Technology and Quantitative Management
Credit Card Fraud Detection Using a New Hybrid Machine Learning Architecture,Malik E.F.,2022-05-01,10.3390/math10091480,Mathematics
Uncovering the antecedents of trust in social commerce: an application of the non-linear artificial neural network approach,Alnoor A.,2022-04-21,10.1108/CR-04-2021-0051,Competitiveness Review
Design of the Shewhart Median Scheme with the Percentile-Based Approach,Chong Z.L.,2022-02-24,10.1145/3524304.3524334,ACM International Conference Proceeding Series
A proposed variable sampling interval median chart for identifying out-of-control signals in process control,Saha S.,2022-01-01,10.1109/ICCIT57492.2022.10055777,"Proceedings of 2022 25th International Conference on Computer and Information Technology, ICCIT 2022"
NEW HYBRID DATA PREPROCESSING TECHNIQUE FOR HIGHLY IMBALANCED DATASET,Malik E.F.,2022-01-01,10.31577/cai_2022_4_981,Computing and Informatics
Comparative analysis of some selected generative adversarial network models for image augmentation: A case study of COVID-19 x-ray and CT images,Ubale Kiru M.,2022-01-01,10.3233/JIFS-220017,Journal of Intelligent and Fuzzy Systems
Based on the perception of ethics in social commerce platforms: Adopting SEM and MCDM approaches for benchmarking customers in rural communities,Sadaa A.M.,2022-01-01,10.1007/s12144-022-04069-9,Current Psychology
How Positive and Negative Electronic Word of Mouth (eWOM) Affects Customers’ Intention to Use Social Commerce? A Dual-Stage Multi Group-SEM and ANN Analysis,Alnoor A.,2022-01-01,10.1080/10447318.2022.2125610,International Journal of Human-Computer Interaction
The multivariate exponentially weighted moving average chart for monitoring short production runs,Lee M.H.,2022-01-01,10.1080/03610918.2022.2108054,Communications in Statistics: Simulation and Computation
PREDICTING DETERMINANTS OF USE MOBILE COMMERCE THROUGH MODELLING NON-LINEAR RELATIONSHIPS,Abdullah H.,2022-01-01,10.18267/j.cebr.306,Central European Business Review
"Modelling and Evaluating Trust in Mobile Commerce: A Hybrid Three Stage Fuzzy Delphi, Structural Equation Modeling, and Neural Network Approach",Khaw K.W.,2022-01-01,10.1080/10447318.2021.2004700,International Journal of Human-Computer Interaction
The efficiency of run rules schemes for the multivariate coefficient of variation in short runs process,Chew X.Y.,2022-01-01,10.1080/03610918.2019.1704783,Communications in Statistics: Simulation and Computation
Design of one-sided modified s control charts for monitoring a finite horizon process,Teng M.T.,2021-09-01,10.24412/1932-2321-2021-363-168-182,Reliability: Theory and Applications
Economic and economic-statistical designs of the side sensitive group runs chart with auxiliary information,Ng P.S.,2021-07-01,10.1002/qre.2841,Quality and Reliability Engineering International
Neural architecture search for lightweight neural network in food recognition,Tan R.Z.,2021-06-01,10.3390/math9111245,Mathematics
An improved Hotelling's T<sup>2</sup> chart for monitoring a finite horizon process based on run rules schemes: A Markov-chain approach,Chew X.Y.,2021-05-01,10.1002/asmb.2596,Applied Stochastic Models in Business and Industry
The economic design of the double sampling x chart with measurement errors,Khee Yong Si K.S.,2021-03-01,10.37622/IJDE/15.2.2020.259-274,International Journal of Difference Equations
One-sided 4-out-of-5 run rules charts for the multivariate coefficient of variation in the finite horizon process,Khaw K.W.,2021-01-01,10.37394/23206.2021.20.47,WSEAS Transactions on Mathematics
Evaluation of variable parameter mcv control chart in downward process shifts,Chew X.,2021-01-01,10.37394/23203.2021.16.43,WSEAS Transactions on Systems and Control
An Optimal Adaptive Variable Sample Size Scheme for the Multivariate Coefficient of Variation,Khaw K.W.,2021-01-01,10.19139/soic-2310-5070-996,"Statistics, Optimization and Information Computing"
Economic-statistical design of the variable sampling interval Poisson EWMA chart,Lee M.H.,2021-01-01,10.1080/03610918.2021.1898637,Communications in Statistics: Simulation and Computation
