Title,Authors,Publication Date,DOI,Source
Distributed and Efficient Slot Assignment-Alignment Protocol for Resource-Constrained Wireless IoT Devices,Sarvghadi M.A.,2023-05-15,10.1109/JIOT.2022.3232335,IEEE Internet of Things Journal
Efficient models for enhancing the link adaptation performance of LTE/LTE-A networks,Bin-Salem A.A.,2022-12-01,10.1186/s13638-022-02091-w,Eurasip Journal on Wireless Communications and Networking
Optimization of the aodv-based packet forwarding mechanism for ble mesh networks,Ghori M.R.,2021-09-01,10.3390/electronics10182274,Electronics (Switzerland)
Bluetooth low energy mesh networks: Survey of communication and security protocols,Ghori M.R.,2020-06-01,10.3390/s20123590,Sensors (Switzerland)
Efficient route discovery and link failure detection mechanisms for source routing protocol in mobile ad-hoc networks,Khudayer B.H.,2020-01-01,10.1109/ACCESS.2020.2970279,IEEE Access
Bluetooth Low Energy 5 Mesh Based Hospital Communication Network (B5MBHCN),Ghori M.,2020-01-01,10.1007/978-981-15-2693-0_18,Communications in Computer and Information Science
A review of constructive interference flooding in wireless sensor networks,Alhalabi H.A.H.,2019-11-15,N/A,Journal of Theoretical and Applied Information Technology
Review on Security in Bluetooth Low Energy Mesh Network in Correlation with Wireless Mesh Network Security,Ghori M.R.,2019-10-01,10.1109/SCORED.2019.8896310,"2019 IEEE Student Conference on Research and Development, SCOReD 2019"
Energy efficient multi-hop path in wireless sensor networks using an enhanced genetic algorithm,Al-Shalabi M.,2019-10-01,10.1016/j.ins.2019.05.094,Information Sciences
Current state of multicast routing protocols for disruption tolerant networks: Survey and open issues,Wong K.,2019-02-01,10.3390/electronics8020162,Electronics (Switzerland)
EESRA: Energy efficient scalable routing algorithm for wireless sensor networks,Ahmed Elsmany E.F.,2019-01-01,10.1109/ACCESS.2019.2929578,IEEE Access
Survey on the Incorporation of NDN/CCN in IoT,Aboodi A.,2019-01-01,10.1109/ACCESS.2019.2919534,IEEE Access
Performance evaluation of MANETs routing protocols in non-uniform node density topology,Mahdi M.,2019-01-01,10.1007/978-981-13-6447-1_52,Lecture Notes in Electrical Engineering
Proposed mechanism based on genetic algorithm to find the optimal multi-hop path in wireless sensor networks,Al-Shalabi M.,2019-01-01,10.1007/978-3-319-99007-1_48,Advances in Intelligent Systems and Computing
Addressing Societal Issues Through MOOCs in Southeast Asia,Weinberger A.,2018-11-13,10.1109/LWMOOCS.2018.8534649,"Proceedings of 2018 Learning With MOOCS, LWMOOCS 2018"
Genetic algorithm based protocols to select cluster heads and find multi-hop path in wireless sensor networks: Review,Al-Shalabi M.,2018-10-26,10.1051/matecconf/201821803019,MATEC Web of Conferences
Review of geographic forwarding strategies for inter-vehicular communications from mobility and environment perspectives,Hanshi S.M.,2018-10-01,10.1016/j.vehcom.2018.09.005,Vehicular Communications
"Variants of the low-energy adaptive clustering hierarchy protocol: Survey, issues and challenges",Al-Shalabi M.,2018-08-01,10.3390/electronics7080136,Electronics (Switzerland)
Work in Progress: LEACH-based energy efficient routing algorithm for large-scale wireless sensor networks,Ahmed E.,2018-01-01,N/A,"Journal of Telecommunication, Electronic and Computer Engineering"
Reliable multicast disruption tolerant networking: Conceptual implementation using message ferry,Wong K.S.,2017-12-19,10.1109/TENCON.2017.8228153,"IEEE Region 10 Annual International Conference, Proceedings/TENCON"
Performance analysis of the constructive interference flooding in wireless sensor networks,Alhalabi H.A.H.,2017-10-20,10.1109/ICITECH.2017.8079938,"ICIT 2017 - 8th International Conference on Information Technology, Proceedings"
Empirical testing of prototype real-time multi-hop MAC for Wireless Sensor Networks,Shukeri N.M.,2017-04-05,10.1109/ICCSCE.2016.7893537,"Proceedings - 6th IEEE International Conference on Control System, Computing and Engineering, ICCSCE 2016"
Statistical analysis of video frame size distribution originating from scalable video codec (SVC),Ahmadpour S.,2017-03-19,10.1155/2017/8098574,Complexity
Theoretical framework of link stability-based forwarding strategy in vehicular ad hoc networks,Hanshi S.M.,2017-01-01,10.1504/IJNVO.2017.083548,International Journal of Networking and Virtual Organisations
Communication protocol for constructive interference flooding in wireless sensor networks,Alhalabi H.,2016-12-15,N/A,Journal of Theoretical and Applied Information Technology
A survey on current status of disruption tolerant network support for multicast,Wong K.,2016-12-14,10.1109/ICCOINS.2016.7783227,"2016 3rd International Conference on Computer and Information Sciences, ICCOINS 2016 - Proceedings"
