Title,Authors,Publication Date,DOI,Source
Factors influencing the behavioral intention to use Cryptocurrency among Saudi Arabian public university students: Moderating role of financial literacy,Alomari A.S.A.,2023-01-01,10.1080/23311975.2023.2178092,Cogent Business and Management
Predicting Accounts Receivable with Machine Learning: A Case in Malaysia,Ramanei T.A.P.,2021-07-14,10.1109/ICIT52682.2021.9491773,"2021 International Conference on Information Technology, ICIT 2021 - Proceedings"
Machine Learning Algorithms for the Classification of Cardiovascular Disease- A Comparative Study,Jinjri W.M.,2021-07-14,10.1109/ICIT52682.2021.9491677,"2021 International Conference on Information Technology, ICIT 2021 - Proceedings"
Diet Exercise Classification using Machine Learning to Predict Obese Patient's Weight Loss,Pinto K.A.,2021-07-04,10.1109/ICOTEN52080.2021.9493560,"2021 International Congress of Advanced Technology and Engineering, ICOTEN 2021"
Review on embryo selection based on morphology using machine learning methods,Merican Z.Z.,2021-01-01,N/A,International Journal of Advances in Soft Computing and its Applications
Empirical Investigations on Usability of Security Warning Dialogs: End Users Experience,Ahmad F.N.A.,2020-01-01,10.1007/978-981-15-2693-0_24,Communications in Computer and Information Science
Timing-of-delivery prediction model to visualize delivery trends for pos laju malaysia by machine learning techniques,Quah J.W.,2019-01-01,10.1007/978-981-13-3441-2_7,Communications in Computer and Information Science
TacTalk: Talking tactile map for the visually impaired,Minhat M.,2017-10-20,10.1109/ICITECH.2017.8080045,"ICIT 2017 - 8th International Conference on Information Technology, Proceedings"
Extended ERP for inventory management: The case of a multi-national manufacturing company,Wei O.C.,2017-08-03,10.1109/ICRIIS.2017.8002489,"International Conference on Research and Innovation in Information Systems, ICRIIS"
"Lifestyle disease prevention: Health literacy, health attitude and mHealth",Yun M.W.,2017-08-03,10.1109/ICRIIS.2017.8002462,"International Conference on Research and Innovation in Information Systems, ICRIIS"
Framework for successful Open Source Software implementation in the Malaysian Public Sector,Hamid A.,2016-12-30,10.1109/ICAICTA.2016.7803143,"4th IGNITE Conference and 2016 International Conference on Advanced Informatics: Concepts, Theory and Application, ICAICTA 2016"
Preliminary study on open source software implementation in the Malaysian public sector,Hamid A.,2016-01-01,10.1541/ieejeiss.136.1742,"IEEJ Transactions on Electronics, Information and Systems"
Operational complexity impact on performance of electrical and electroncis industry in Malaysia,Abdullah N.L.,2015-01-01,N/A,ARPN Journal of Engineering and Applied Sciences
Pretesting impact of operational complexity in Malaysia's electrical and electronics manufacturing industry,Abdullah N.L.,2014-01-01,N/A,Jurnal Teknologi (Sciences and Engineering)
Quality management effectiveness in Malaysia: A conceptual model for electronics manufacturing services industry,Abdullah N.L.,2012-12-01,10.1109/ISBEIA.2012.6422882,"ISBEIA 2012 - IEEE Symposium on Business, Engineering and Industrial Applications"
Challenges of quality management: A case study at malaysian electronics manufacturing services company,Abdullah N.L.,2012-01-01,10.11113/jt.v59.1601,Jurnal Teknologi (Sciences and Engineering)
Exploring user's perception toward automated checkout trolley in developing countries,See K.,2011-09-29,N/A,"Proceedings of the European Computing Conference, ECC '11"
Role of information technology in efficient management of quality assurance operation: A case study in a Malaysian small and medium enterprise,Quanlow R.,2011-09-26,10.1109/CITA.2011.5999507,2011 7th International Conference on Information Technology in Asia: Emerging Convergences and Singularity of Forms - Proceedings of CITA'11
Security challenges in designing an integrated web application for multiple online banking,Ng A.,2010-11-08,10.1109/ITSIM.2010.5561291,"Proceedings 2010 International Symposium on Information Technology - Visual Informatics, ITSim'10"
