Title,Authors,Publication Date,DOI,Source
Numerical Approximation of 5G-V2V Physical Sidelink Shared Channel (PSSCH) Capacity Limit using M/G/1 Queuing and Newton–Raphson Method,Abubakar S.,2023-05-15,10.1016/j.aej.2023.03.045,Alexandria Engineering Journal
IOT Based Integrated COVID-19 Self-Monitoring Tool (COV-SMT) for Quarantine,Loke E.L.Y.,2023-01-01,10.3991/ijim.v17i09.35505,International Journal of Interactive Mobile Technologies
"A Representation of 3GPP 5G-V2X Sidelink Enhancements in Releases 14, 15, 16, and 17",Abubakar S.,2022-04-01,10.18280/ts.390216,Traitement du Signal
"Exploring the Business Intelligence Efficiency in Organizations among Employees in Penang, Malaysia",An T.S.,2022-02-14,10.1109/ICRAIE52900.2021.9704036,"2021 6th IEEE International Conference on Recent Advances and Innovations in Engineering, ICRAIE 2021"
Driver Drowsiness Detection and Monitoring System (DDDMS),Rozali R.A.F.,2022-01-01,10.14569/IJACSA.2022.0130691,International Journal of Advanced Computer Science and Applications
Learning Effectivess of Virtual Land Surveying Simulator for Blended Open Distance Learning Amid Covid-19 Pandemic,Im Y.C.,2022-01-01,10.14569/IJACSA.2022.0130471,International Journal of Advanced Computer Science and Applications
Performance Evaluation of Safe Avoidance Time and Safety Message Dissemination for Vehicle to Vehicle (V2V) Communication in LTE C-V2X,Halim H.A.,2022-01-01,10.14569/IJACSA.2022.0130362,International Journal of Advanced Computer Science and Applications
"Security in IoT: Threats and Vulnerabilities, Layered Architecture, Encryption Mechanisms, Challenges and Solutions",Pahlevanzadeh B.,2021-01-01,10.1007/978-981-33-6835-4_18,Communications in Computer and Information Science
Passenger vehicle avoidance time model for connected and autonomous vehicles,Jaiyeoba O.,2019-07-01,10.1109/ICoICT.2019.8835282,"2019 7th International Conference on Information and Communication Technology, ICoICT 2019"
Crash avoidance based periodic safety message dissemination protocol for vehicular ad hoc network,Fadilah S.,2019-04-01,10.1109/VTCSpring.2019.8746467,IEEE Vehicular Technology Conference
ToMRobot: A low-cost robot for MANET testbed,Muchtar F.,2018-12-01,10.1109/PDGC.2018.8745838,"PDGC 2018 - 2018 5th International Conference on Parallel, Distributed and Grid Computing"
P2P over MANET: A review and its conceptual framework,Muchtar F.,2018-12-01,10.1109/PDGC.2018.8745856,"PDGC 2018 - 2018 5th International Conference on Parallel, Distributed and Grid Computing"
The modified safe clustering algorithm for vehicular ad hoc networks,Hashim A.A.,2018-02-28,10.1109/SCORED.2017.8305381,"IEEE Student Conference on Research and Development: Inspiring Technology for Humanity, SCOReD 2017 - Proceedings"
A time gap interval for safe following distance (TGFD) in avoiding car collision in wireless vehicular networks (VANET) environment,Fadilah S.I.,2015-09-28,10.1109/ISMS.2014.123,"Proceedings - International Conference on Intelligent Systems, Modelling and Simulation, ISMS"
A novel adaptive time gap based congestion control for vehicular ad hoc network,Fadilah S.I.,2015-01-01,N/A,ARPN Journal of Engineering and Applied Sciences
New time gap analytical model for rear end collision avoidance in wireless vehicular networks,Fadilah S.I.,2015-01-01,N/A,ARPN Journal of Engineering and Applied Sciences
Wireless vehicular network based commercial advertisment dissemination (VCAD),Fadilah S.I.,2015-01-01,N/A,ARPN Journal of Engineering and Applied Sciences
Design and development of Zigbee based wireless remote controlling and data acquisition device through internet,Shibghatullah A.,2014-01-01,N/A,Journal of Theoretical and Applied Information Technology
Performance analysis for wireless G (IEEE 802.11g) and wireless N (IEEE 802.11n) in outdoor environment,Fadilah S.,2014-01-01,N/A,ARPN Journal of Engineering and Applied Sciences
A new hop-count and node-degree based routing protocol for Vehicular Ad-hoc Networks (VANETs),Hashim W.,2013-01-01,10.1109/MICC.2013.6805845,"2013 IEEE 11th Malaysia International Conference on Communications, MICC 2013"
