Title,Authors,Publication Date,DOI,Source
The Role of Machine Learning and the Internet of Things in Smart Buildings for Energy Efficiency,Shah S.F.A.,2022-08-01,10.3390/app12157882,Applied Sciences (Switzerland)
Wrapper and Hybrid Feature Selection Methods Using Metaheuristic Algorithms for English Text Classification: A Systematic Review,Alyasiri O.M.,2022-01-01,10.1109/ACCESS.2022.3165814,IEEE Access
Hybrid Filter-Wrapper Text Feature Selection Technique for Text Classification,Alyasiri O.M.,2021-06-05,10.1109/ICICT52195.2021.9567898,"International Conference on Communication and Information Technology, ICICT 2021"
Multi-level knowledge-based approach for implicit aspect identification,Rana T.A.,2020-12-01,10.1007/s10489-020-01817-x,Applied Intelligence
Going Big and Deep: Using Convolutional Neural Network to Leverage Training Data from Multiple Domains for Cross-Domain Sentiment Classification on Product Reviews,Gupta A.,2020-09-26,10.1109/IICAIET49801.2020.9257815,"IEEE International Conference on Artificial Intelligence in Engineering and Technology, IICAIET 2020"
Malaysian health centers’ intention to use an sms-based vaccination reminder and management system: A conceptual model,Karkonasasi K.,2020-01-01,10.1007/978-3-030-33582-3_90,Advances in Intelligent Systems and Computing
Aspect Categorization Using Domain-Trained Word Embedding and Topic Modelling,Al-Janabi O.M.,2020-01-01,10.1007/978-981-15-1289-6_18,Lecture Notes in Electrical Engineering
Sequential patterns rule-based approach for opinion target extraction from customer reviews,Rana T.A.,2019-10-01,10.1177/0165551518808195,Journal of Information Science
EVOLUTIONARY COMBINATORIAL OPTIMIZATION FOR WORD EMBEDDING (ECOWE) IN SENTIMENT CLASSIFICATION,Gunasegaran T.,2019-01-01,10.22452/MJCS.SP2019NO3.3,Malaysian Journal of Computer Science
Analogy-based Common-Sense Knowledge for Opinion-Target Identification and Aggregation,Mustafa A.J.O.,2018-07-01,10.1109/ICISPC44900.2018.9006687,"2018 2nd International Conference on Imaging, Signal Processing and Communication, ICISPC 2018"
Hidden sentiment behind letter repetition in online reviews,Pak I.,2018-01-01,N/A,"Journal of Telecommunication, Electronic and Computer Engineering"
