Title,Authors,Publication Date,DOI,Source
A systematic literature review on attacks defense mechanisms in RPL-based 6LoWPAN of Internet of Things,Al-Amiedy T.A.,2023-07-01,10.1016/j.iot.2023.100741,Internet of Things (Netherlands)
Crowd Management: Simulation Modelling and Visualization Via Fuzzy Agents,Zali M.N.,2023-01-10,10.1063/5.0110450,AIP Conference Proceedings
Flow-Based IDS Features Enrichment for ICMPv6-DDoS Attacks Detection,Elejla O.E.,2022-12-01,10.3390/sym14122556,Symmetry
IoT Adoption and Application for Smart Healthcare: A Systematic Review,Al-rawashdeh M.,2022-07-01,10.3390/s22145377,Sensors
Credit Card Fraud Detection Using a New Hybrid Machine Learning Architecture,Malik E.F.,2022-05-01,10.3390/math10091480,Mathematics
A Systematic Literature Review on Machine and Deep Learning Approaches for Detecting Attacks in RPL-Based 6LoWPAN of Internet of Things,Al-Amiedy T.A.,2022-05-01,10.3390/s22093400,Sensors
Conceptual Framework for Optimized Pipeline Selection for Brain Tractography Using Multi-Criteria Decision Analysis,Fazili I.,2022-01-01,10.1109/CCISP55629.2022.9974377,"Proceedings - 2022 7th International Conference on Communication, Image and Signal Processing, CCISP 2022"
Comparative analysis of some selected generative adversarial network models for image augmentation: A case study of COVID-19 x-ray and CT images,Ubale Kiru M.,2022-01-01,10.3233/JIFS-220017,Journal of Intelligent and Fuzzy Systems
Dominant Gray Level Based Particle Swarm Optimization Clustering for Segmenting Brain Tumor Sub-regions from Multimodal Magnetic Resonance Images,Fawzi A.,2022-01-01,10.1007/978-981-16-8515-6_46,Lecture Notes in Electrical Engineering
Brain image segmentation in recent years: A narrative review,Fawzi A.,2021-08-01,10.3390/brainsci11081055,Brain Sciences
Ensemble Feature Selection Approach for Detecting Denial of Service Attacks in RPL Networks,Alamiedy T.A.,2021-01-01,10.1007/978-981-16-8059-5_21,Communications in Computer and Information Science
Adaptive Clip Limit Tile Size Histogram Equalization for Non-Homogenized Intensity Images,Fawzi A.,2021-01-01,10.1109/ACCESS.2021.3134170,IEEE Access
