Title,Authors,Publication Date,DOI,Source
On the resistance of new lightweight block ciphers against differential cryptanalysis,Chan Y.Y.,2023-04-01,10.1016/j.heliyon.2023.e15257,Heliyon
SIM-P - A Simplified Consensus Protocol Simulator: Applications to Proof of Reputation-X and Proof of Contribution,Oyinloye D.P.,2023-03-15,10.1109/JIOT.2022.3221916,IEEE Internet of Things Journal
A New Image Encryption Algorithm Based on DNA State Machine for UAV Data Encryption,Alawida M.,2023-01-01,10.3390/drones7010038,Drones
Differential cryptanalysis of WARP,Teh J.S.,2022-11-01,10.1016/j.jisa.2022.103316,Journal of Information Security and Applications
A chaos-based block cipher based on an enhanced logistic map and simultaneous confusion-diffusion operations,Alawida M.,2022-11-01,10.1016/j.jksuci.2022.07.025,Journal of King Saud University - Computer and Information Sciences
An FPP-resistant SVD-based image watermarking scheme based on chaotic control,Alshoura W.H.,2022-07-01,10.1016/j.aej.2021.10.052,Alexandria Engineering Journal
New differential cryptanalysis results for the lightweight block cipher BORON,Teh J.S.,2022-05-01,10.1016/j.jisa.2022.103129,Journal of Information Security and Applications
Automated enumeration of block cipher differentials: An optimized branch-and-bound GPU framework,Yeoh W.Z.,2022-03-01,10.1016/j.jisa.2021.103087,Journal of Information Security and Applications
Differential Cryptanalysis of Lightweight Block Ciphers SLIM and LCB,Chan Y.Y.,2022-01-01,10.1007/978-3-031-23098-1_4,Communications in Computer and Information Science
BFEDroid: A Feature Selection Technique to Detect Malware in Android Apps Using Machine Learning,Chimeleze C.,2022-01-01,10.1155/2022/5339926,Security and Communication Networks
An enhanced color visual cryptography scheme based on the binary dragonfly algorithm,Ibrahim D.R.,2022-01-01,10.1080/1206212X.2020.1859244,International Journal of Computers and Applications
An overview of visual cryptography techniques,Ibrahim D.R.,2021-09-01,10.1007/s11042-021-11229-9,Multimedia Tools and Applications
Blockchain consensus: An overview of alternative protocols,Oyinloye D.P.,2021-08-01,10.3390/sym13081363,Symmetry
Network traffic identification of several open source secure proxy protocols,Zhang Y.,2021-03-01,10.1002/nem.2090,International Journal of Network Management
Lightweight block cipher security evaluation based on machine learning classifiers and active s-boxes,Lee T.R.,2021-01-01,10.1109/ACCESS.2021.3116468,IEEE Access
A Deep Learning Approach for Active S-Box Prediction of Lightweight Generalized Feistel Block Ciphers,Idris M.F.,2021-01-01,10.1109/ACCESS.2021.3099802,IEEE Access
An Integrated Architecture for Maintaining Security in Cloud Computing Based on Blockchain,Awadallah R.,2021-01-01,10.1109/ACCESS.2021.3077123,IEEE Access
Hybrid SVD-Based Image Watermarking Schemes: A Review,Alshoura W.H.,2021-01-01,10.1109/ACCESS.2021.3060861,IEEE Access
Improved Facial Recognition Algorithms Based on Dragonfly and Grasshopper Optimization,Ibrahim D.R.,2021-01-01,10.1007/978-981-33-4069-5_10,Lecture Notes in Electrical Engineering
A Novel Hash Function Based on a Chaotic Sponge and DNA Sequence,Alawida M.,2021-01-01,10.1109/ACCESS.2021.3049881,IEEE Access
"Multifactor authentication system based on color visual cryptography, facial recognition, and dragonfly optimization",Ibrahim D.R.,2021-01-01,10.1080/19393555.2020.1817633,Information Security Journal
Analysis of differential distribution of lightweight block cipher based on parallel processing on GPU,Chen Z.,2020-12-01,10.1016/j.jisa.2020.102565,Journal of Information Security and Applications
Generating True Random Numbers Based on Multicore CPU Using Race Conditions and Chaotic Maps,Teh J.S.,2020-12-01,10.1007/s13369-020-04552-0,Arabian Journal for Science and Engineering
A post-processing method for true random number generators based on hyperchaos with applications in audio-based generators,Teh J.S.,2020-12-01,10.1007/s11704-019-9120-2,Frontiers of Computer Science
Unkeyed hash function based on chaotic sponge construction and fixed-point arithmetic,Teh J.S.,2020-03-01,10.1007/s11071-020-05504-x,Nonlinear Dynamics
Implementation and practical problems of chaos-based cryptography revisited,Teh J.S.,2020-02-01,10.1016/j.jisa.2019.102421,Journal of Information Security and Applications
